onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
99.9460000000	n/a	n/a	STATUS	n/a	n/a	S111
105.2900000000	n/a	n/a	STATUS	n/a	n/a	S111
110.8820000000	n/a	n/a	STATUS	n/a	n/a	S111
136.1120000000	n/a	n/a	STATUS	n/a	n/a	S111
141.3160000000	n/a	n/a	STATUS	n/a	n/a	S111
149.5400000000	n/a	n/a	STATUS	n/a	n/a	S111
217.4240000000	n/a	n/a	STATUS	n/a	n/a	S111
223.2280000000	n/a	n/a	STATUS	n/a	n/a	S111
229.4440000000	n/a	n/a	STATUS	n/a	n/a	S111
235.5400000000	n/a	n/a	STATUS	n/a	n/a	S111
241.3720000000	n/a	n/a	STATUS	n/a	n/a	S111
246.7000000000	n/a	n/a	STATUS	n/a	n/a	S111
252.1240000000	n/a	n/a	STATUS	n/a	n/a	S111
257.2760000000	n/a	n/a	STATUS	n/a	n/a	S111
263.1520000000	n/a	n/a	STATUS	n/a	n/a	S111
295.8160000000	n/a	n/a	STATUS	n/a	n/a	S111
300.2920000000	n/a	n/a	STATUS	n/a	n/a	S111
306.1000000000	n/a	n/a	STATUS	n/a	n/a	S111
311.7680000000	n/a	n/a	STATUS	n/a	n/a	S111
316.7000000000	n/a	n/a	STATUS	n/a	n/a	S111
322.8000000000	n/a	n/a	STATUS	n/a	n/a	S111
328.5580000000	n/a	n/a	STATUS	n/a	n/a	S111
333.6460000000	n/a	n/a	STATUS	n/a	n/a	S111
339.4820000000	n/a	n/a	STATUS	n/a	n/a	S111
344.7980000000	n/a	n/a	STATUS	n/a	n/a	S111
350.4100000000	n/a	n/a	STATUS	n/a	n/a	S111
355.4540000000	n/a	n/a	STATUS	n/a	n/a	S111
417.9480000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
420.2220000000	n/a	n/a	Right Button	n/a	n/a	S 20
420.2740000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
421.0840000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
422.8520000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
424.9200000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
424.9700000000	n/a	n/a	Left Button	n/a	n/a	S 10
425.0200000000	n/a	n/a	Response Accurate	n/a	n/a	S201
426.0540000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
428.0900000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
430.6080000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
432.7340000000	n/a	n/a	Right Button	n/a	n/a	S 20
432.7840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
433.5760000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
435.3940000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
437.9460000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
439.0140000000	n/a	n/a	Left Button	n/a	n/a	S 10
439.0640000000	n/a	n/a	Response Accurate	n/a	n/a	S201
439.7480000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
441.4320000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
443.8020000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
445.9820000000	n/a	n/a	Left Button	n/a	n/a	S 10
446.0320000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
446.9200000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
448.8060000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
451.0740000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
452.7140000000	n/a	n/a	Right Button	n/a	n/a	S 20
452.7640000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
453.6760000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
455.5940000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
457.4440000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
458.2740000000	n/a	n/a	Left Button	n/a	n/a	S 10
458.3240000000	n/a	n/a	Response Accurate	n/a	n/a	S201
459.2640000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
461.1980000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
463.3500000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
464.4860000000	n/a	n/a	Left Button	n/a	n/a	S 10
464.5360000000	n/a	n/a	Response Accurate	n/a	n/a	S201
465.2500000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
466.9680000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
469.5040000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
470.9020000000	n/a	n/a	Right Button	n/a	n/a	S 20
470.9520000000	n/a	n/a	Response Accurate	n/a	n/a	S201
471.9400000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
473.9240000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
476.0260000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
476.5660000000	n/a	n/a	Left Button	n/a	n/a	S 10
476.6160000000	n/a	n/a	Response Accurate	n/a	n/a	S201
477.4440000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
479.2780000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
481.2800000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
481.9900000000	n/a	n/a	Left Button	n/a	n/a	S 10
482.0400000000	n/a	n/a	Response Accurate	n/a	n/a	S201
482.8140000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
484.6000000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
486.7680000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
487.4340000000	n/a	n/a	Right Button	n/a	n/a	S 20
487.4840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
488.1860000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
489.8860000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
491.9540000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
493.0340000000	n/a	n/a	Left Button	n/a	n/a	S 10
493.0840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
494.0900000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
496.1080000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
498.2420000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
499.1900000000	n/a	n/a	Right Button	n/a	n/a	S 20
499.2400000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
499.9780000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
501.7120000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
504.0800000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
504.8860000000	n/a	n/a	Left Button	n/a	n/a	S 10
504.9360000000	n/a	n/a	Response Accurate	n/a	n/a	S201
505.6480000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
507.3660000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
509.3520000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
510.2060000000	n/a	n/a	Right Button	n/a	n/a	S 20
510.2560000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
511.0360000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
512.8200000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
515.3900000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
516.5860000000	n/a	n/a	Right Button	n/a	n/a	S 20
516.6360000000	n/a	n/a	Response Accurate	n/a	n/a	S201
517.6080000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
519.5760000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
522.0440000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
522.7360000000	n/a	n/a	Left Button	n/a	n/a	S 10
522.7880000000	n/a	n/a	Response Accurate	n/a	n/a	S201
523.4620000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
525.1460000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
527.3980000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
528.0600000000	n/a	n/a	Left Button	n/a	n/a	S 10
528.1100000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
528.8660000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
530.6180000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
532.4860000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
533.2200000000	n/a	n/a	Right Button	n/a	n/a	S 20
533.2700000000	n/a	n/a	Response Accurate	n/a	n/a	S201
534.2540000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
536.2380000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
538.8080000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
540.1560000000	n/a	n/a	Left Button	n/a	n/a	S 10
540.2060000000	n/a	n/a	Response Accurate	n/a	n/a	S201
541.1260000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
543.0440000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
545.0460000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
545.7760000000	n/a	n/a	Left Button	n/a	n/a	S 10
545.8260000000	n/a	n/a	Response Accurate	n/a	n/a	S201
546.8300000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
548.8320000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
551.1340000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
552.1440000000	n/a	n/a	Left Button	n/a	n/a	S 10
552.1940000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
553.0180000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
554.8540000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
556.9380000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
557.7520000000	n/a	n/a	Right Button	n/a	n/a	S 20
557.8020000000	n/a	n/a	Response Accurate	n/a	n/a	S201
558.7060000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
560.6080000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
562.7420000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
563.6880000000	n/a	n/a	Right Button	n/a	n/a	S 20
563.7380000000	n/a	n/a	Response Accurate	n/a	n/a	S201
564.5940000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
