onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
106.2940000000	n/a	n/a	STATUS	n/a	n/a	S111
112.5980000000	n/a	n/a	STATUS	n/a	n/a	S111
117.9940000000	n/a	n/a	STATUS	n/a	n/a	S111
152.5540000000	n/a	n/a	STATUS	n/a	n/a	S111
159.9580000000	n/a	n/a	STATUS	n/a	n/a	S111
165.9780000000	n/a	n/a	STATUS	n/a	n/a	S111
209.7960000000	n/a	n/a	STATUS	n/a	n/a	S111
215.4480000000	n/a	n/a	STATUS	n/a	n/a	S111
221.7920000000	n/a	n/a	STATUS	n/a	n/a	S111
227.7720000000	n/a	n/a	STATUS	n/a	n/a	S111
234.8600000000	n/a	n/a	STATUS	n/a	n/a	S111
240.6080000000	n/a	n/a	STATUS	n/a	n/a	S111
246.0840000000	n/a	n/a	STATUS	n/a	n/a	S111
252.4120000000	n/a	n/a	STATUS	n/a	n/a	S111
258.7640000000	n/a	n/a	STATUS	n/a	n/a	S111
289.8520000000	n/a	n/a	STATUS	n/a	n/a	S111
295.8600000000	n/a	n/a	STATUS	n/a	n/a	S111
301.3960000000	n/a	n/a	STATUS	n/a	n/a	S111
307.3720000000	n/a	n/a	STATUS	n/a	n/a	S111
312.5920000000	n/a	n/a	STATUS	n/a	n/a	S111
318.1640000000	n/a	n/a	STATUS	n/a	n/a	S111
323.3480000000	n/a	n/a	STATUS	n/a	n/a	S111
329.0720000000	n/a	n/a	STATUS	n/a	n/a	S111
334.1760000000	n/a	n/a	STATUS	n/a	n/a	S111
339.6120000000	n/a	n/a	STATUS	n/a	n/a	S111
344.9240000000	n/a	n/a	STATUS	n/a	n/a	S111
349.6360000000	n/a	n/a	STATUS	n/a	n/a	S111
397.7520000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
401.1300000000	n/a	n/a	Right Button	n/a	n/a	S 20
401.1820000000	n/a	n/a	Response Accurate	n/a	n/a	S201
402.2220000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
404.2400000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
406.6420000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
411.7260000000	n/a	n/a	Left Button	n/a	n/a	S 10
411.7760000000	n/a	n/a	Response Accurate	n/a	n/a	S201
412.6480000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
414.5160000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
416.4500000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
417.2420000000	n/a	n/a	Right Button	n/a	n/a	S 20
417.2920000000	n/a	n/a	Response Accurate	n/a	n/a	S201
418.2340000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
420.1860000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
422.3380000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
423.5460000000	n/a	n/a	Right Button	n/a	n/a	S 20
423.5960000000	n/a	n/a	Response Accurate	n/a	n/a	S201
424.2060000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
425.8240000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
428.1580000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
430.9300000000	n/a	n/a	Left Button	n/a	n/a	S 10
430.9800000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
431.8960000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
433.8140000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
435.9820000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
436.9340000000	n/a	n/a	Right Button	n/a	n/a	S 20
436.9840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
437.8500000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
439.7180000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
441.9200000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
443.1700000000	n/a	n/a	Right Button	n/a	n/a	S 20
443.2200000000	n/a	n/a	Response Accurate	n/a	n/a	S201
444.0220000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
445.8220000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
447.8400000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
448.4540000000	n/a	n/a	Right Button	n/a	n/a	S 20
448.5040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
449.3420000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
451.1760000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
453.5960000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
455.9220000000	n/a	n/a	Left Button	n/a	n/a	S 10
455.9720000000	n/a	n/a	Response Accurate	n/a	n/a	S201
456.9980000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
459.0320000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
461.0680000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
464.4180000000	n/a	n/a	Right Button	n/a	n/a	S 20
464.4680000000	n/a	n/a	Response Accurate	n/a	n/a	S201
465.4540000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
467.4400000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
469.9400000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
470.6140000000	n/a	n/a	Right Button	n/a	n/a	S 20
470.6640000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
471.3420000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
473.0260000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
474.9780000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
478.2820000000	n/a	n/a	Left Button	n/a	n/a	S 10
478.3320000000	n/a	n/a	Response Accurate	n/a	n/a	S201
479.2480000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
481.1660000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
483.1840000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
484.2700000000	n/a	n/a	Right Button	n/a	n/a	S 20
484.3200000000	n/a	n/a	Response Accurate	n/a	n/a	S201
485.0860000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
486.8540000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
488.9380000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
489.9580000000	n/a	n/a	Left Button	n/a	n/a	S 10
490.0080000000	n/a	n/a	Response Accurate	n/a	n/a	S201
490.6240000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
492.2420000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
494.6260000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
495.6900000000	n/a	n/a	Right Button	n/a	n/a	S 20
495.7400000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
496.6780000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
498.6120000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
500.9640000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
503.3700000000	n/a	n/a	Left Button	n/a	n/a	S 10
503.4200000000	n/a	n/a	Response Accurate	n/a	n/a	S201
504.2840000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
506.1520000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
508.7200000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
509.8500000000	n/a	n/a	Right Button	n/a	n/a	S 20
509.9000000000	n/a	n/a	Response Accurate	n/a	n/a	S201
510.5060000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
512.1060000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
514.1920000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
517.0540000000	n/a	n/a	Left Button	n/a	n/a	S 10
517.1040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
518.0440000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
519.9960000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
522.4140000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
524.3180000000	n/a	n/a	Right Button	n/a	n/a	S 20
524.3680000000	n/a	n/a	Response Accurate	n/a	n/a	S201
525.3000000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
527.2520000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
529.4700000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
531.3100000000	n/a	n/a	Right Button	n/a	n/a	S 20
531.3600000000	n/a	n/a	Response Accurate	n/a	n/a	S201
532.1560000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
533.9560000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
536.3420000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
537.8260000000	n/a	n/a	Right Button	n/a	n/a	S 20
537.8760000000	n/a	n/a	Response Accurate	n/a	n/a	S201
538.9440000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
541.0120000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
542.9140000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
546.6820000000	n/a	n/a	Left Button	n/a	n/a	S 10
546.7320000000	n/a	n/a	Response Accurate	n/a	n/a	S201
547.6340000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
549.5360000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
551.5860000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
553.3140000000	n/a	n/a	Left Button	n/a	n/a	S 10
553.3640000000	n/a	n/a	Response Accurate	n/a	n/a	S201
554.1560000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
555.9560000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
558.2420000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
559.4420000000	n/a	n/a	Right Button	n/a	n/a	S 20
559.4920000000	n/a	n/a	Response Accurate	n/a	n/a	S201
560.1440000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
561.7940000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
563.8140000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
565.1060000000	n/a	n/a	Left Button	n/a	n/a	S 10
565.1560000000	n/a	n/a	Response Accurate	n/a	n/a	S201
566.1480000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
568.1500000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
570.6840000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
571.5180000000	n/a	n/a	Left Button	n/a	n/a	S 10
