onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
108.2680000000	n/a	n/a	STATUS	n/a	n/a	S111
114.3440000000	n/a	n/a	STATUS	n/a	n/a	S111
119.7120000000	n/a	n/a	STATUS	n/a	n/a	S111
150.3660000000	n/a	n/a	STATUS	n/a	n/a	S111
155.6180000000	n/a	n/a	STATUS	n/a	n/a	S111
161.0500000000	n/a	n/a	STATUS	n/a	n/a	S111
235.6980000000	n/a	n/a	STATUS	n/a	n/a	S111
242.0420000000	n/a	n/a	STATUS	n/a	n/a	S111
247.8140000000	n/a	n/a	STATUS	n/a	n/a	S111
252.7500000000	n/a	n/a	STATUS	n/a	n/a	S111
258.1060000000	n/a	n/a	STATUS	n/a	n/a	S111
263.6940000000	n/a	n/a	STATUS	n/a	n/a	S111
269.4260000000	n/a	n/a	STATUS	n/a	n/a	S111
274.7380000000	n/a	n/a	STATUS	n/a	n/a	S111
280.6460000000	n/a	n/a	STATUS	n/a	n/a	S111
321.1460000000	n/a	n/a	STATUS	n/a	n/a	S111
325.5600000000	n/a	n/a	STATUS	n/a	n/a	S111
330.7680000000	n/a	n/a	STATUS	n/a	n/a	S111
336.0120000000	n/a	n/a	STATUS	n/a	n/a	S111
341.1440000000	n/a	n/a	STATUS	n/a	n/a	S111
351.4520000000	n/a	n/a	STATUS	n/a	n/a	S111
356.9520000000	n/a	n/a	STATUS	n/a	n/a	S111
364.2000000000	n/a	n/a	STATUS	n/a	n/a	S111
369.7760000000	n/a	n/a	STATUS	n/a	n/a	S111
375.0200000000	n/a	n/a	STATUS	n/a	n/a	S111
379.8720000000	n/a	n/a	STATUS	n/a	n/a	S111
385.2360000000	n/a	n/a	STATUS	n/a	n/a	S111
485.6120000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
486.6040000000	n/a	n/a	Left Button	n/a	n/a	S 10
486.6540000000	n/a	n/a	Response Accurate	n/a	n/a	S201
487.5800000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
489.4660000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
491.9500000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
493.0720000000	n/a	n/a	Left Button	n/a	n/a	S 10
493.1220000000	n/a	n/a	Response Accurate	n/a	n/a	S201
494.0180000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
495.9200000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
498.3060000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
498.9040000000	n/a	n/a	Left Button	n/a	n/a	S 10
498.9540000000	n/a	n/a	Response Accurate	n/a	n/a	S201
499.7240000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
501.4920000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
503.4260000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
504.0200000000	n/a	n/a	Left Button	n/a	n/a	S 10
504.0700000000	n/a	n/a	Response Accurate	n/a	n/a	S201
504.8100000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
506.5620000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
508.6960000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
509.5700000000	n/a	n/a	Left Button	n/a	n/a	S 10
509.6220000000	n/a	n/a	Response Accurate	n/a	n/a	S201
510.3140000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
512.0160000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
514.3840000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
515.2460000000	n/a	n/a	Left Button	n/a	n/a	S 10
515.2980000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
516.1360000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
517.9700000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
520.3720000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
521.0540000000	n/a	n/a	Left Button	n/a	n/a	S 10
521.1040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
521.8400000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
523.5740000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
525.9440000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
526.5260000000	n/a	n/a	Left Button	n/a	n/a	S 10
526.5760000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
527.5940000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
529.6120000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
531.9980000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
532.7460000000	n/a	n/a	Left Button	n/a	n/a	S 10
532.7960000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
533.5660000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
535.3340000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
537.7520000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
539.1300000000	n/a	n/a	Right Button	n/a	n/a	S 20
539.1800000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
540.0040000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
541.8380000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
543.7080000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
544.5460000000	n/a	n/a	Left Button	n/a	n/a	S 10
544.5960000000	n/a	n/a	Response Accurate	n/a	n/a	S201
545.4760000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
547.3600000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
549.6120000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
550.4020000000	n/a	n/a	Right Button	n/a	n/a	S 20
550.4520000000	n/a	n/a	Response Accurate	n/a	n/a	S201
551.0960000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
552.7480000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
554.8320000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
555.8780000000	n/a	n/a	Left Button	n/a	n/a	S 10
555.9280000000	n/a	n/a	Response Accurate	n/a	n/a	S201
556.9000000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
558.8680000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
561.1380000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
561.1880000000	n/a	n/a	Left Button	n/a	n/a	S 10
561.2380000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
562.2040000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
564.1720000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
566.2580000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
566.9540000000	n/a	n/a	Left Button	n/a	n/a	S 10
