onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
136.9480000000	n/a	n/a	STATUS	n/a	n/a	S111
142.6560000000	n/a	n/a	STATUS	n/a	n/a	S111
149.6640000000	n/a	n/a	STATUS	n/a	n/a	S111
188.0760000000	n/a	n/a	STATUS	n/a	n/a	S111
193.5920000000	n/a	n/a	STATUS	n/a	n/a	S111
200.1400000000	n/a	n/a	STATUS	n/a	n/a	S111
295.8660000000	n/a	n/a	STATUS	n/a	n/a	S111
301.3660000000	n/a	n/a	STATUS	n/a	n/a	S111
308.1540000000	n/a	n/a	STATUS	n/a	n/a	S111
314.2100000000	n/a	n/a	STATUS	n/a	n/a	S111
322.8820000000	n/a	n/a	STATUS	n/a	n/a	S111
328.9220000000	n/a	n/a	STATUS	n/a	n/a	S111
335.2380000000	n/a	n/a	STATUS	n/a	n/a	S111
343.9100000000	n/a	n/a	STATUS	n/a	n/a	S111
349.7460000000	n/a	n/a	STATUS	n/a	n/a	S111
381.2140000000	n/a	n/a	STATUS	n/a	n/a	S111
387.0540000000	n/a	n/a	STATUS	n/a	n/a	S111
392.6500000000	n/a	n/a	STATUS	n/a	n/a	S111
397.6020000000	n/a	n/a	STATUS	n/a	n/a	S111
402.7380000000	n/a	n/a	STATUS	n/a	n/a	S111
408.7060000000	n/a	n/a	STATUS	n/a	n/a	S111
414.9340000000	n/a	n/a	STATUS	n/a	n/a	S111
420.3340000000	n/a	n/a	STATUS	n/a	n/a	S111
425.6260000000	n/a	n/a	STATUS	n/a	n/a	S111
430.8700000000	n/a	n/a	STATUS	n/a	n/a	S111
435.8700000000	n/a	n/a	STATUS	n/a	n/a	S111
440.6780000000	n/a	n/a	STATUS	n/a	n/a	S111
520.7600000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
521.8520000000	n/a	n/a	Right Button	n/a	n/a	S 20
521.9040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
522.8440000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
524.7620000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
526.9140000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
528.3040000000	n/a	n/a	Right Button	n/a	n/a	S 20
528.3540000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
529.2160000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
531.0840000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
533.0020000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
535.5760000000	n/a	n/a	Left Button	n/a	n/a	S 10
535.6260000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
536.2880000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
537.9560000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
540.1240000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
541.0000000000	n/a	n/a	Right Button	n/a	n/a	S 20
541.0500000000	n/a	n/a	Response Accurate	n/a	n/a	S201
542.0600000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
544.0780000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
546.5460000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
547.6840000000	n/a	n/a	Right Button	n/a	n/a	S 20
547.7340000000	n/a	n/a	Response Accurate	n/a	n/a	S201
548.4480000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
550.1660000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
552.2680000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
554.4760000000	n/a	n/a	Right Button	n/a	n/a	S 20
554.5260000000	n/a	n/a	Response Accurate	n/a	n/a	S201
555.5700000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
557.6220000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
559.6720000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
560.2160000000	n/a	n/a	Left Button	n/a	n/a	S 10
560.2660000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
561.2740000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
563.2920000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
565.3100000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
566.4880000000	n/a	n/a	Right Button	n/a	n/a	S 20
566.5380000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
567.1280000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
568.7300000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
570.7320000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
572.6920000000	n/a	n/a	Right Button	n/a	n/a	S 20
572.7420000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
573.5660000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
575.4180000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
577.4540000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
578.7480000000	n/a	n/a	Left Button	n/a	n/a	S 10
578.7980000000	n/a	n/a	Response Accurate	n/a	n/a	S201
579.4540000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
581.1220000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
583.5580000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
585.4080000000	n/a	n/a	Left Button	n/a	n/a	S 10
585.4580000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
586.3100000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
588.1620000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
590.5800000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
590.9600000000	n/a	n/a	Left Button	n/a	n/a	S 10
591.0100000000	n/a	n/a	Response Accurate	n/a	n/a	S201
591.6300000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
593.2480000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
595.1160000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
596.4200000000	n/a	n/a	Right Button	n/a	n/a	S 20
596.4700000000	n/a	n/a	Response Accurate	n/a	n/a	S201
597.4360000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
599.4040000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
601.5880000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
603.4360000000	n/a	n/a	Right Button	n/a	n/a	S 20
603.4860000000	n/a	n/a	Response Accurate	n/a	n/a	S201
604.5240000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
606.5580000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
608.5940000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
609.5280000000	n/a	n/a	Right Button	n/a	n/a	S 20
609.5780000000	n/a	n/a	Response Accurate	n/a	n/a	S201
610.2280000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
611.8800000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
614.0640000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
615.1480000000	n/a	n/a	Left Button	n/a	n/a	S 10
615.1980000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
615.7820000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
617.3680000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
619.7680000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
620.7640000000	n/a	n/a	Right Button	n/a	n/a	S 20
620.8140000000	n/a	n/a	Response Accurate	n/a	n/a	S201
621.6380000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
623.4720000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
625.3240000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
626.8520000000	n/a	n/a	Left Button	n/a	n/a	S 10
626.9020000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
627.5080000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
629.1260000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
631.3120000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
632.2600000000	n/a	n/a	Right Button	n/a	n/a	S 20
632.3100000000	n/a	n/a	Response Accurate	n/a	n/a	S201
633.0460000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
634.7800000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
637.3160000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
638.0660000000	n/a	n/a	Left Button	n/a	n/a	S 10
638.1180000000	n/a	n/a	Response Accurate	n/a	n/a	S201
639.1500000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
641.1860000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
643.3360000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
644.8060000000	n/a	n/a	Left Button	n/a	n/a	S 10
644.8560000000	n/a	n/a	Response Accurate	n/a	n/a	S201
645.8560000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
647.8740000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
649.7420000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
650.5620000000	n/a	n/a	Right Button	n/a	n/a	S 20
650.6120000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
651.3760000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
653.1440000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
655.4620000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
656.4420000000	n/a	n/a	Right Button	n/a	n/a	S 20
656.4920000000	n/a	n/a	Response Accurate	n/a	n/a	S201
657.0800000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
658.6660000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
660.9500000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
661.5820000000	n/a	n/a	Right Button	n/a	n/a	S 20
661.6320000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
662.5520000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
664.4860000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
666.5540000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
667.2100000000	n/a	n/a	Left Button	n/a	n/a	S 10
667.2600000000	n/a	n/a	Response Accurate	n/a	n/a	S201
668.1400000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
670.0240000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
672.0760000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
674.0340000000	n/a	n/a	Right Button	n/a	n/a	S 20
674.0840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
674.6940000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
676.3120000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
678.3980000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
679.3780000000	n/a	n/a	Left Button	n/a	n/a	S 10
679.4280000000	n/a	n/a	Response Accurate	n/a	n/a	S201
680.2320000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
682.0340000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
684.1840000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
685.2620000000	n/a	n/a	Left Button	n/a	n/a	S 10
685.3120000000	n/a	n/a	Response Accurate	n/a	n/a	S201
686.2860000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
688.2720000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
690.4560000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
692.1260000000	n/a	n/a	Right Button	n/a	n/a	S 20
692.1760000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
693.2260000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
695.2760000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
697.6120000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
699.0780000000	n/a	n/a	Right Button	n/a	n/a	S 20
699.1280000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
699.9980000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
701.8660000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
704.3180000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
704.9980000000	n/a	n/a	Left Button	n/a	n/a	S 10
705.0480000000	n/a	n/a	Response Accurate	n/a	n/a	S201
706.0680000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
708.0860000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
710.3060000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
711.2620000000	n/a	n/a	Left Button	n/a	n/a	S 10
711.3120000000	n/a	n/a	Response Accurate	n/a	n/a	S201
712.1560000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
714.0080000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
715.9260000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
718.2780000000	n/a	n/a	Right Button	n/a	n/a	S 20
718.3280000000	n/a	n/a	Response Accurate	n/a	n/a	S201
719.1280000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
720.9300000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
723.3660000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
725.0140000000	n/a	n/a	Right Button	n/a	n/a	S 20
725.0640000000	n/a	n/a	Response Accurate	n/a	n/a	S201
725.8000000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
727.5340000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
729.9860000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
731.3540000000	n/a	n/a	Left Button	n/a	n/a	S 10
731.4040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
732.1720000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
733.9400000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
736.0580000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
737.0500000000	n/a	n/a	Left Button	n/a	n/a	S 10
737.1000000000	n/a	n/a	Response Accurate	n/a	n/a	S201
737.7600000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
739.4280000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
741.9960000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
742.6940000000	n/a	n/a	Right Button	n/a	n/a	S 20
742.7440000000	n/a	n/a	Response Accurate	n/a	n/a	S201
743.5300000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
745.3160000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
747.6180000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
749.1500000000	n/a	n/a	Right Button	n/a	n/a	S 20
749.2000000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
750.1860000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
752.1700000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
754.0060000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
754.9340000000	n/a	n/a	Left Button	n/a	n/a	S 10
754.9840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
755.5560000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
757.1400000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
759.6920000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
760.8300000000	n/a	n/a	Left Button	n/a	n/a	S 10
760.8800000000	n/a	n/a	Response Accurate	n/a	n/a	S201
761.7940000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
763.7120000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
765.5980000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
766.9460000000	n/a	n/a	Right Button	n/a	n/a	S 20
766.9960000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
767.7000000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
769.4000000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
771.9700000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
772.7380000000	n/a	n/a	Left Button	n/a	n/a	S 10
772.7880000000	n/a	n/a	Response Accurate	n/a	n/a	S201
773.7540000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
775.7220000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
777.6560000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
780.7940000000	n/a	n/a	Left Button	n/a	n/a	S 10
780.8440000000	n/a	n/a	Response Accurate	n/a	n/a	S201
781.8100000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
783.7780000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
786.3300000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
787.8420000000	n/a	n/a	Right Button	n/a	n/a	S 20
787.8920000000	n/a	n/a	Response Accurate	n/a	n/a	S201
788.6660000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
790.4500000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
792.5180000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
793.0860000000	n/a	n/a	Left Button	n/a	n/a	S 10
793.1360000000	n/a	n/a	Response Accurate	n/a	n/a	S201
