onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
157.3340000000	n/a	n/a	STATUS	n/a	n/a	S111
164.8080000000	n/a	n/a	STATUS	n/a	n/a	S111
172.2880000000	n/a	n/a	STATUS	n/a	n/a	S111
232.2920000000	n/a	n/a	STATUS	n/a	n/a	S111
238.9520000000	n/a	n/a	STATUS	n/a	n/a	S111
245.8480000000	n/a	n/a	STATUS	n/a	n/a	S111
397.6340000000	n/a	n/a	STATUS	n/a	n/a	S111
405.8420000000	n/a	n/a	STATUS	n/a	n/a	S111
411.9980000000	n/a	n/a	STATUS	n/a	n/a	S111
419.8820000000	n/a	n/a	STATUS	n/a	n/a	S111
427.4260000000	n/a	n/a	STATUS	n/a	n/a	S111
433.5860000000	n/a	n/a	STATUS	n/a	n/a	S111
441.0060000000	n/a	n/a	STATUS	n/a	n/a	S111
448.1620000000	n/a	n/a	STATUS	n/a	n/a	S111
455.4980000000	n/a	n/a	STATUS	n/a	n/a	S111
516.9380000000	n/a	n/a	STATUS	n/a	n/a	S111
524.9860000000	n/a	n/a	STATUS	n/a	n/a	S111
531.4380000000	n/a	n/a	STATUS	n/a	n/a	S111
537.6640000000	n/a	n/a	STATUS	n/a	n/a	S111
544.2560000000	n/a	n/a	STATUS	n/a	n/a	S111
551.2920000000	n/a	n/a	STATUS	n/a	n/a	S111
556.4000000000	n/a	n/a	STATUS	n/a	n/a	S111
563.2120000000	n/a	n/a	STATUS	n/a	n/a	S111
572.4360000000	n/a	n/a	STATUS	n/a	n/a	S111
580.1800000000	n/a	n/a	STATUS	n/a	n/a	S111
587.7600000000	n/a	n/a	STATUS	n/a	n/a	S111
593.2600000000	n/a	n/a	STATUS	n/a	n/a	S111
739.8480000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
744.5940000000	n/a	n/a	Right Button	n/a	n/a	S 20
744.6460000000	n/a	n/a	Response Accurate	n/a	n/a	S201
745.6700000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
747.6540000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
749.8560000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
752.5620000000	n/a	n/a	Right Button	n/a	n/a	S 20
752.6120000000	n/a	n/a	Response Accurate	n/a	n/a	S201
753.5080000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
755.4100000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
757.9120000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
759.4260000000	n/a	n/a	Right Button	n/a	n/a	S 20
759.4760000000	n/a	n/a	Response Accurate	n/a	n/a	S201
760.4300000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
762.3820000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
764.4180000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
766.8900000000	n/a	n/a	Right Button	n/a	n/a	S 20
766.9400000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
767.5860000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
769.2380000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
771.2720000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
772.5100000000	n/a	n/a	Right Button	n/a	n/a	S 20
772.5600000000	n/a	n/a	Response Accurate	n/a	n/a	S201
773.1400000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
774.7260000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
776.5940000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
777.9140000000	n/a	n/a	Left Button	n/a	n/a	S 10
777.9640000000	n/a	n/a	Response Accurate	n/a	n/a	S201
778.5780000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
780.1960000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
782.2480000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
783.2620000000	n/a	n/a	Right Button	n/a	n/a	S 20
783.3120000000	n/a	n/a	Response Accurate	n/a	n/a	S201
784.2320000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
786.1500000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
