onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
101.0080000000	n/a	n/a	STATUS	n/a	n/a	S111
106.8560000000	n/a	n/a	STATUS	n/a	n/a	S111
112.3480000000	n/a	n/a	STATUS	n/a	n/a	S111
133.2860000000	n/a	n/a	STATUS	n/a	n/a	S111
138.5780000000	n/a	n/a	STATUS	n/a	n/a	S111
144.5020000000	n/a	n/a	STATUS	n/a	n/a	S111
196.5300000000	n/a	n/a	STATUS	n/a	n/a	S111
202.0300000000	n/a	n/a	STATUS	n/a	n/a	S111
208.0260000000	n/a	n/a	STATUS	n/a	n/a	S111
212.9860000000	n/a	n/a	STATUS	n/a	n/a	S111
218.7340000000	n/a	n/a	STATUS	n/a	n/a	S111
224.3340000000	n/a	n/a	STATUS	n/a	n/a	S111
230.8300000000	n/a	n/a	STATUS	n/a	n/a	S111
237.4260000000	n/a	n/a	STATUS	n/a	n/a	S111
243.5220000000	n/a	n/a	STATUS	n/a	n/a	S111
271.9660000000	n/a	n/a	STATUS	n/a	n/a	S111
277.8860000000	n/a	n/a	STATUS	n/a	n/a	S111
283.9060000000	n/a	n/a	STATUS	n/a	n/a	S111
288.8580000000	n/a	n/a	STATUS	n/a	n/a	S111
294.6100000000	n/a	n/a	STATUS	n/a	n/a	S111
300.2340000000	n/a	n/a	STATUS	n/a	n/a	S111
305.5140000000	n/a	n/a	STATUS	n/a	n/a	S111
310.2860000000	n/a	n/a	STATUS	n/a	n/a	S111
315.3060000000	n/a	n/a	STATUS	n/a	n/a	S111
320.3600000000	n/a	n/a	STATUS	n/a	n/a	S111
325.3280000000	n/a	n/a	STATUS	n/a	n/a	S111
330.6840000000	n/a	n/a	STATUS	n/a	n/a	S111
378.8620000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
379.8120000000	n/a	n/a	Left Button	n/a	n/a	S 10
379.8640000000	n/a	n/a	Response Accurate	n/a	n/a	S201
380.7460000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
382.6140000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
384.9000000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
385.8040000000	n/a	n/a	Left Button	n/a	n/a	S 10
385.8540000000	n/a	n/a	Response Accurate	n/a	n/a	S201
386.8000000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
388.7520000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
391.0540000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
391.8920000000	n/a	n/a	Left Button	n/a	n/a	S 10
391.9420000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
392.8220000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
394.7060000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
396.7240000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
396.7740000000	n/a	n/a	Right Button	n/a	n/a	S 20
396.8260000000	n/a	n/a	Response Accurate	n/a	n/a	S201
