onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
183.2180000000	n/a	n/a	STATUS	n/a	n/a	S111
188.9140000000	n/a	n/a	STATUS	n/a	n/a	S111
194.5340000000	n/a	n/a	STATUS	n/a	n/a	S111
237.2860000000	n/a	n/a	STATUS	n/a	n/a	S111
242.3580000000	n/a	n/a	STATUS	n/a	n/a	S111
247.8460000000	n/a	n/a	STATUS	n/a	n/a	S111
336.5880000000	n/a	n/a	STATUS	n/a	n/a	S111
341.8520000000	n/a	n/a	STATUS	n/a	n/a	S111
347.4840000000	n/a	n/a	STATUS	n/a	n/a	S111
352.9400000000	n/a	n/a	STATUS	n/a	n/a	S111
358.2920000000	n/a	n/a	STATUS	n/a	n/a	S111
363.3200000000	n/a	n/a	STATUS	n/a	n/a	S111
368.6520000000	n/a	n/a	STATUS	n/a	n/a	S111
374.0040000000	n/a	n/a	STATUS	n/a	n/a	S111
379.6960000000	n/a	n/a	STATUS	n/a	n/a	S111
408.8840000000	n/a	n/a	STATUS	n/a	n/a	S111
414.7120000000	n/a	n/a	STATUS	n/a	n/a	S111
420.9360000000	n/a	n/a	STATUS	n/a	n/a	S111
426.4520000000	n/a	n/a	STATUS	n/a	n/a	S111
431.7800000000	n/a	n/a	STATUS	n/a	n/a	S111
437.5000000000	n/a	n/a	STATUS	n/a	n/a	S111
442.7080000000	n/a	n/a	STATUS	n/a	n/a	S111
447.9360000000	n/a	n/a	STATUS	n/a	n/a	S111
453.0080000000	n/a	n/a	STATUS	n/a	n/a	S111
458.0000000000	n/a	n/a	STATUS	n/a	n/a	S111
463.5520000000	n/a	n/a	STATUS	n/a	n/a	S111
469.2800000000	n/a	n/a	STATUS	n/a	n/a	S111
543.8780000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
545.5700000000	n/a	n/a	Left Button	n/a	n/a	S 10
545.6220000000	n/a	n/a	Response Accurate	n/a	n/a	S201
546.6300000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
548.6160000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
550.7000000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
551.2340000000	n/a	n/a	Right Button	n/a	n/a	S 20
551.2840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
552.2680000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
554.2520000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
556.1220000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
558.5500000000	n/a	n/a	Left Button	n/a	n/a	S 10
558.6000000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
559.1740000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
560.7580000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
563.1760000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
564.3860000000	n/a	n/a	Right Button	n/a	n/a	S 20
564.4360000000	n/a	n/a	Response Accurate	n/a	n/a	S201
565.2120000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
566.9960000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
569.4980000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
571.9820000000	n/a	n/a	Left Button	n/a	n/a	S 10
572.0320000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
573.0680000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
575.1020000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
577.3700000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
578.1460000000	n/a	n/a	Left Button	n/a	n/a	S 10
578.1960000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
579.2560000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
581.3240000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
583.5760000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
584.3860000000	n/a	n/a	Right Button	n/a	n/a	S 20
584.4360000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
585.4940000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
587.5620000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
589.5640000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
592.2540000000	n/a	n/a	Left Button	n/a	n/a	S 10
592.3040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
593.2000000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
595.1000000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
597.4700000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
598.2340000000	n/a	n/a	Right Button	n/a	n/a	S 20
598.2840000000	n/a	n/a	Response Accurate	n/a	n/a	S201
599.3200000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
601.3560000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
603.2580000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
603.9580000000	n/a	n/a	Left Button	n/a	n/a	S 10
604.0080000000	n/a	n/a	Response Accurate	n/a	n/a	S201
604.9080000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
606.8100000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
608.9940000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
609.6820000000	n/a	n/a	Left Button	n/a	n/a	S 10
609.7320000000	n/a	n/a	Response Accurate	n/a	n/a	S201
610.6120000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
612.4980000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
614.4320000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
615.2140000000	n/a	n/a	Right Button	n/a	n/a	S 20
615.2640000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
616.1500000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
618.0360000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
619.9860000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
620.7060000000	n/a	n/a	Left Button	n/a	n/a	S 10
620.7560000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
621.5380000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
623.3220000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
625.8580000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
626.7260000000	n/a	n/a	Right Button	n/a	n/a	S 20
626.7760000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
627.8100000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
629.8440000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
632.2300000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
633.0700000000	n/a	n/a	Right Button	n/a	n/a	S 20
633.1200000000	n/a	n/a	Response Accurate	n/a	n/a	S201
634.0800000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
636.0480000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
638.0680000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
638.7860000000	n/a	n/a	Left Button	n/a	n/a	S 10
638.8360000000	n/a	n/a	Response Accurate	n/a	n/a	S201
639.8020000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
641.7700000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
643.9060000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
645.2980000000	n/a	n/a	Right Button	n/a	n/a	S 20
645.3480000000	n/a	n/a	Response Accurate	n/a	n/a	S201
646.2560000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
648.1740000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
650.7100000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
651.7660000000	n/a	n/a	Right Button	n/a	n/a	S 20
651.8160000000	n/a	n/a	Response Accurate	n/a	n/a	S201
652.6780000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
654.5460000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
656.6140000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
657.3420000000	n/a	n/a	Right Button	n/a	n/a	S 20
657.3920000000	n/a	n/a	Response Accurate	n/a	n/a	S201
658.3160000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
660.2500000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
662.4520000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
665.4500000000	n/a	n/a	Left Button	n/a	n/a	S 10
665.5000000000	n/a	n/a	Response Accurate	n/a	n/a	S201
666.4720000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
668.4580000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
670.8420000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
671.7780000000	n/a	n/a	Left Button	n/a	n/a	S 10
671.8280000000	n/a	n/a	Response Accurate	n/a	n/a	S201
672.4100000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
673.9940000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
675.9960000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
678.6180000000	n/a	n/a	Right Button	n/a	n/a	S 20
678.6680000000	n/a	n/a	Response Accurate	n/a	n/a	S201
679.3160000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
680.9660000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
683.1680000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
683.6820000000	n/a	n/a	Right Button	n/a	n/a	S 20
683.7320000000	n/a	n/a	Response Accurate	n/a	n/a	S201
684.3200000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
685.9200000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
687.8380000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
688.5540000000	n/a	n/a	Left Button	n/a	n/a	S 10
688.6040000000	n/a	n/a	Response Accurate	n/a	n/a	S201
689.6060000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
691.6080000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
693.6440000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
695.5940000000	n/a	n/a	Right Button	n/a	n/a	S 20
695.6440000000	n/a	n/a	Response Accurate	n/a	n/a	S201
696.4780000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
698.3140000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
700.3140000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
701.3900000000	n/a	n/a	Right Button	n/a	n/a	S 20
701.4400000000	n/a	n/a	Response Accurate	n/a	n/a	S201
702.2840000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
704.1340000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
706.4860000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
707.2380000000	n/a	n/a	Right Button	n/a	n/a	S 20
707.2880000000	n/a	n/a	Response Accurate	n/a	n/a	S201
708.3040000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
710.3220000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
712.2580000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
713.0020000000	n/a	n/a	Left Button	n/a	n/a	S 10
713.0520000000	n/a	n/a	Response Accurate	n/a	n/a	S201
713.9580000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
715.8760000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
718.3780000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
719.2620000000	n/a	n/a	Left Button	n/a	n/a	S 10
719.3120000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
720.1460000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
721.9820000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
724.0160000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
725.2480000000	n/a	n/a	Left Button	n/a	n/a	S 10
725.3000000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
726.0020000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
727.7200000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
729.9200000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
730.7200000000	n/a	n/a	Right Button	n/a	n/a	S 20
730.7700000000	n/a	n/a	Response Accurate	n/a	n/a	S201
731.7060000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
733.6400000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
735.8580000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
