onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
149.4740000000	n/a	n/a	STATUS	n/a	n/a	S111
155.7100000000	n/a	n/a	STATUS	n/a	n/a	S111
161.3820000000	n/a	n/a	STATUS	n/a	n/a	S111
185.7340000000	n/a	n/a	STATUS	n/a	n/a	S111
191.4860000000	n/a	n/a	STATUS	n/a	n/a	S111
197.2020000000	n/a	n/a	STATUS	n/a	n/a	S111
258.9460000000	n/a	n/a	STATUS	n/a	n/a	S111
264.2780000000	n/a	n/a	STATUS	n/a	n/a	S111
269.7140000000	n/a	n/a	STATUS	n/a	n/a	S111
275.4940000000	n/a	n/a	STATUS	n/a	n/a	S111
280.7780000000	n/a	n/a	STATUS	n/a	n/a	S111
286.3300000000	n/a	n/a	STATUS	n/a	n/a	S111
291.7820000000	n/a	n/a	STATUS	n/a	n/a	S111
296.9500000000	n/a	n/a	STATUS	n/a	n/a	S111
302.2580000000	n/a	n/a	STATUS	n/a	n/a	S111
329.0520000000	n/a	n/a	STATUS	n/a	n/a	S111
335.1520000000	n/a	n/a	STATUS	n/a	n/a	S111
340.4680000000	n/a	n/a	STATUS	n/a	n/a	S111
345.4200000000	n/a	n/a	STATUS	n/a	n/a	S111
350.5400000000	n/a	n/a	STATUS	n/a	n/a	S111
355.7400000000	n/a	n/a	STATUS	n/a	n/a	S111
360.6120000000	n/a	n/a	STATUS	n/a	n/a	S111
365.8880000000	n/a	n/a	STATUS	n/a	n/a	S111
370.8200000000	n/a	n/a	STATUS	n/a	n/a	S111
375.6520000000	n/a	n/a	STATUS	n/a	n/a	S111
380.5280000000	n/a	n/a	STATUS	n/a	n/a	S111
385.6600000000	n/a	n/a	STATUS	n/a	n/a	S111
462.2440000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
463.3760000000	n/a	n/a	Right Button	n/a	n/a	S 20
463.4260000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
464.0620000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
465.6640000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
467.7980000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
468.5680000000	n/a	n/a	Left Button	n/a	n/a	S 10
468.6180000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
469.2000000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
470.7840000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
473.2540000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
474.5200000000	n/a	n/a	Right Button	n/a	n/a	S 20
474.5700000000	n/a	n/a	Response Accurate	n/a	n/a	S201
475.3880000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
477.2060000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
479.2740000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
480.5520000000	n/a	n/a	Right Button	n/a	n/a	S 20
480.6020000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
481.2420000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
482.8940000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
485.3120000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
486.3200000000	n/a	n/a	Left Button	n/a	n/a	S 10
486.3700000000	n/a	n/a	Response Accurate	n/a	n/a	S201
487.3640000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
489.3820000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
491.4840000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
492.2640000000	n/a	n/a	Left Button	n/a	n/a	S 10
492.3140000000	n/a	n/a	Response Accurate	n/a	n/a	S201
493.3020000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
495.2860000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
497.4380000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
498.3920000000	n/a	n/a	Right Button	n/a	n/a	S 20
498.4420000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
499.4740000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
501.5080000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
503.5920000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
504.3540000000	n/a	n/a	Left Button	n/a	n/a	S 10
504.4060000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
505.1600000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
506.9120000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
