onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
147.7700000000	n/a	n/a	STATUS	n/a	n/a	S111
153.6820000000	n/a	n/a	STATUS	n/a	n/a	S111
160.4100000000	n/a	n/a	STATUS	n/a	n/a	S111
202.5260000000	n/a	n/a	STATUS	n/a	n/a	S111
208.8020000000	n/a	n/a	STATUS	n/a	n/a	S111
214.8820000000	n/a	n/a	STATUS	n/a	n/a	S111
312.4820000000	n/a	n/a	STATUS	n/a	n/a	S111
318.3840000000	n/a	n/a	STATUS	n/a	n/a	S111
323.9200000000	n/a	n/a	STATUS	n/a	n/a	S111
329.4480000000	n/a	n/a	STATUS	n/a	n/a	S111
335.0960000000	n/a	n/a	STATUS	n/a	n/a	S111
341.1760000000	n/a	n/a	STATUS	n/a	n/a	S111
346.8600000000	n/a	n/a	STATUS	n/a	n/a	S111
352.4440000000	n/a	n/a	STATUS	n/a	n/a	S111
357.5320000000	n/a	n/a	STATUS	n/a	n/a	S111
387.3640000000	n/a	n/a	STATUS	n/a	n/a	S111
392.5640000000	n/a	n/a	STATUS	n/a	n/a	S111
398.4320000000	n/a	n/a	STATUS	n/a	n/a	S111
403.4920000000	n/a	n/a	STATUS	n/a	n/a	S111
408.7680000000	n/a	n/a	STATUS	n/a	n/a	S111
414.7160000000	n/a	n/a	STATUS	n/a	n/a	S111
420.5040000000	n/a	n/a	STATUS	n/a	n/a	S111
425.6040000000	n/a	n/a	STATUS	n/a	n/a	S111
431.2960000000	n/a	n/a	STATUS	n/a	n/a	S111
436.7400000000	n/a	n/a	STATUS	n/a	n/a	S111
442.0120000000	n/a	n/a	STATUS	n/a	n/a	S111
447.4440000000	n/a	n/a	STATUS	n/a	n/a	S111
530.1080000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
530.8500000000	n/a	n/a	Right Button	n/a	n/a	S 20
530.9020000000	n/a	n/a	Response Accurate	n/a	n/a	S201
531.6260000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
533.3120000000	n/a	n/a	FB type: CHAIR (win)	n/a	n/a	S107
535.2300000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
536.2020000000	n/a	n/a	Right Button	n/a	n/a	S 20
