onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
171.8420000000	n/a	n/a	STATUS	n/a	n/a	S111
178.2780000000	n/a	n/a	STATUS	n/a	n/a	S111
187.7100000000	n/a	n/a	STATUS	n/a	n/a	S111
230.1440000000	n/a	n/a	STATUS	n/a	n/a	S111
236.0480000000	n/a	n/a	STATUS	n/a	n/a	S111
243.3520000000	n/a	n/a	STATUS	n/a	n/a	S111
322.3040000000	n/a	n/a	STATUS	n/a	n/a	S111
327.8880000000	n/a	n/a	STATUS	n/a	n/a	S111
335.1920000000	n/a	n/a	STATUS	n/a	n/a	S111
341.5680000000	n/a	n/a	STATUS	n/a	n/a	S111
349.4800000000	n/a	n/a	STATUS	n/a	n/a	S111
356.7000000000	n/a	n/a	STATUS	n/a	n/a	S111
363.8560000000	n/a	n/a	STATUS	n/a	n/a	S111
371.5760000000	n/a	n/a	STATUS	n/a	n/a	S111
378.3640000000	n/a	n/a	STATUS	n/a	n/a	S111
417.8300000000	n/a	n/a	STATUS	n/a	n/a	S111
423.9980000000	n/a	n/a	STATUS	n/a	n/a	S111
429.7860000000	n/a	n/a	STATUS	n/a	n/a	S111
435.3580000000	n/a	n/a	STATUS	n/a	n/a	S111
441.0820000000	n/a	n/a	STATUS	n/a	n/a	S111
448.7140000000	n/a	n/a	STATUS	n/a	n/a	S111
455.3900000000	n/a	n/a	STATUS	n/a	n/a	S111
462.1900000000	n/a	n/a	STATUS	n/a	n/a	S111
468.4580000000	n/a	n/a	STATUS	n/a	n/a	S111
473.7900000000	n/a	n/a	STATUS	n/a	n/a	S111
479.3540000000	n/a	n/a	STATUS	n/a	n/a	S111
485.2260000000	n/a	n/a	STATUS	n/a	n/a	S111
569.7900000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
571.8700000000	n/a	n/a	Right Button	n/a	n/a	S 20
571.9200000000	n/a	n/a	Response Accurate	n/a	n/a	S201
572.7580000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
574.5760000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
576.7940000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
578.0040000000	n/a	n/a	Right Button	n/a	n/a	S 20
578.0560000000	n/a	n/a	Response Accurate	n/a	n/a	S201
578.9640000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
580.8820000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
583.2160000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
583.8520000000	n/a	n/a	Left Button	n/a	n/a	S 10
583.9020000000	n/a	n/a	Response Accurate	n/a	n/a	S201
584.6520000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
586.4200000000	n/a	n/a	FB type: POINT (lose)	n/a	n/a	S104
588.6540000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
591.5960000000	n/a	n/a	Right Button	n/a	n/a	S 20
591.6460000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
592.5240000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
594.4080000000	n/a	n/a	FB type: CHAIR (lose)	n/a	n/a	S106
596.3760000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
597.2160000000	n/a	n/a	Left Button	n/a	n/a	S 10
597.2660000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
598.1620000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
600.0620000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
602.5980000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
603.5960000000	n/a	n/a	Right Button	n/a	n/a	S 20
603.6460000000	n/a	n/a	Response Accurate	n/a	n/a	S201
604.4320000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
606.2180000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
608.2520000000	n/a	n/a	CUE: C - win picture	n/a	n/a	S  3
609.1680000000	n/a	n/a	Right Button	n/a	n/a	S 20
609.2180000000	n/a	n/a	Response Accurate	n/a	n/a	S201
610.1540000000	n/a	n/a	FB cue: Pic Win	n/a	n/a	S 53
612.0880000000	n/a	n/a	FB type: PUPPY (win)	n/a	n/a	S105
614.0900000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
614.9480000000	n/a	n/a	Left Button	n/a	n/a	S 10
614.9980000000	n/a	n/a	Response Accurate	n/a	n/a	S201
616.0260000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
618.0600000000	n/a	n/a	FB type: POINT (win)	n/a	n/a	S101
619.9780000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
622.7720000000	n/a	n/a	Left Button	n/a	n/a	S 10
622.8220000000	n/a	n/a	Response Inaccurate	n/a	n/a	S200
623.4140000000	n/a	n/a	FB cue: Pic Lose	n/a	n/a	S 54
625.0160000000	n/a	n/a	FB type: NEG PIC (lose)	n/a	n/a	S108
627.2680000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
628.3560000000	n/a	n/a	Right Button	n/a	n/a	S 20
628.4060000000	n/a	n/a	Response Accurate	n/a	n/a	S201
628.9840000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
630.5700000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
632.4200000000	n/a	n/a	CUE: A - win point	n/a	n/a	S  1
633.5720000000	n/a	n/a	Right Button	n/a	n/a	S 20
633.6220000000	n/a	n/a	Response Accurate	n/a	n/a	S201
634.4560000000	n/a	n/a	FB cue: Point Lose	n/a	n/a	S 52
636.2900000000	n/a	n/a	FB type: NULL BAR (lose)	n/a	n/a	S102
638.2580000000	n/a	n/a	CUE: B - avoid point loss	n/a	n/a	S  2
639.3440000000	n/a	n/a	Right Button	n/a	n/a	S 20
639.3940000000	n/a	n/a	Response Accurate	n/a	n/a	S201
640.0600000000	n/a	n/a	FB cue: Point Win	n/a	n/a	S 51
641.7280000000	n/a	n/a	FB type: NULL BAR (win)	n/a	n/a	S103
643.5800000000	n/a	n/a	CUE: D - avoid picture loss	n/a	n/a	S  4
644.3880000000	n/a	n/a	Right Button	n/a	n/a	S 20
644.4380000000	n/a	n/a	Response Accurate	n/a	n/a	S201
